Цена(в $),Пробег,Марка,Модель,Год
19 999,107 тыс.км,Audi,A3,2016
39 900,100 тыс.км,BMW,5 Series,2017
12 450,285 тыс.км,Mercedes-Benz,E-Class,2009
116 000,17 тыс.км,Audi,SQ8,2024
49 400,147 тыс.км,Mercedes-Benz,GLE-Class,2019
8 750,243 тыс.км,Volkswagen,Passat,2011
9 650,268 тыс.км,Renault,Master,2013
14 800,225 тыс.км,Volkswagen,Tiguan,2012
32 900,168 тыс.км,Volkswagen,Touareg,2016
22 000,170 тыс.км,BMW,X5,2014
22 800,97 тыс.км,Volvo,S90,2017
19 503,175 тыс.км,Skoda,Octavia,2020
105 000,115 тыс.км,Mercedes-Benz,S-Class,2015
19 000,265 тыс.км,Volkswagen,Passat,2019
24 013,167 тыс.км,Volkswagen,Passat,2022
8 850,258 тыс.км,Volkswagen,Touran,2009
17 800,255 тыс.км,BMW,X2,2019
1 999,279 тыс.км,Ford,Scorpio,1991
15 299,154 тыс.км,Nissan,Rogue,2014
5 999,270 тыс.км,Lexus,ES,2008
17 200,3 тыс.км,Geely,Atlas Pro,2022
37 888,1 тыс.км,Zeekr,001,2025
47 999,150 тыс.км,Audi,Q7,2018
34 500,435 тыс.км,Mercedes-Benz,Sprinter,2019
31 700,166 тыс.км,Audi,Q7,2018
41 500,113 тыс.км,Mercedes-Benz,Sprinter,2020
55 000,19 тыс.км,Audi,Q7,2020
13 431,76 тыс.км,Nissan,Leaf,2020
34 950,239 тыс.км,Mercedes-Benz,Sprinter,2022
5 800,152 тыс.км,BMW,3 Series,2005
36 450,51 тыс.км,Tesla,Model Y,2024
27 999,200 тыс.км,Mercedes-Benz,Sprinter,2020
39 000,135 тыс.км,Mercedes-Benz,GLS-Class,2016
21 500,251 тыс.км,Mercedes-Benz,Sprinter,2019
21 999,190 тыс.км,Audi,Q7,2014
17 850,94 тыс.км,Kia,Niro,2020
37 000,106 тыс.км,BMW,5 Series,2017
5 900,236 тыс.км,Renault,Kangoo,2008
15 999,160 тыс.км,BMW,X1,2018
53 500,30 тыс.км,Audi,Q7,2022
14 700,216 тыс.км,BMW,X3,2013
12 400,105 тыс.км,Jeep,Compass,2019
23 600,236 тыс.км,Volvo,XC90,2015
21 200,155 тыс.км,Audi,Q7,2012
20 999,238 тыс.км,Audi,A6,2015
700,200 тыс.км,Volkswagen,Golf,1990
8 600,249 тыс.км,Ford,Focus,2013
27 500,251 тыс.км,Volvo,XC90,2015
72 000,155 тыс.км,BMW,X6,2019
26 399,95 тыс.км,Peugeot,3008,2021
16 500,48 тыс.км,Toyota,RAV4,2017
15 499,111 тыс.км,Volkswagen,Golf,2014
21 500,356 тыс.км,Renault,Master,2019
49 000,14 тыс.км,Skoda,Kodiaq,2024
11 600,236 тыс.км,Hyundai,Santa FE,2013
22 000,191 тыс.км,Ford,Edge,2017
26 700,32 тыс.км,Hyundai,Tucson,2021
15 950,218 тыс.км,Nissan,Rogue,2018
31 000,237 тыс.км,Audi,Q5,2017
28 900,90 тыс.км,Jeep,Grand Cherokee,2018
18 600,130 тыс.км,Toyota,RAV4,2016
137 000,3 тыс.км,BMW,X6,2023
67 999,27 тыс.км,BMW,5 Series,2023
21 983,157 тыс.км,Volkswagen,Golf,2022
8 299,143 тыс.км,Volkswagen,Golf Plus,2012
11 000,270 тыс.км,Mercedes-Benz,E-Class,2007
17 800,475 тыс.км,Renault,Master,2018
12 600,238 тыс.км,BMW,3 Series,2015
51 500,158 тыс.км,Audi,Q8,2018
25 000,145 тыс.км,Audi,Q7,2017
175 000,1 тыс.км,Mercedes-Benz,G-Class,2024
26 000,235 тыс.км,Porsche,Cayenne,2015
41 900,180 тыс.км,Land,Rover Range Rover,2016
18 000,227 тыс.км,BMW,3 Series,2016
13 750,225 тыс.км,Audi,Q5,2014
27 900,190 тыс.км,BMW,X5,2017
12 500,130 тыс.км,Nissan,Rogue,2016
17 500,92 тыс.км,Hyundai,Tucson,2017
